precinct,total_crimes,pct_felony,pct_misdemeanor,pct_violation,pct_theft,pct_assault,pct_drug,pct_fraud,pct_harassment,pct_night,borough,area_km2,crimes_per_km2,raw_crimes_per_km2,raw_pct_felony,raw_pct_misdemeanor,raw_pct_theft,raw_pct_assault,raw_pct_drug,raw_pct_fraud,raw_pct_harassment,raw_pct_night
1,30901,-1.7297628262280573,3.4725466455367,9.533672049448239,2.4380108728696,-1.8598241314604145,-1.0085688182444394,0.08484632915310376,-2.040181039172952,-2.5863048691149775,MANHATTAN,4.0,1.0675353831606296,7725.25,26.248341477622084,64.21798647292968,61.412252030678616,9.064431571793794,0.4498236303032264,3.281447202355911,9.320086728584835,16.552862366913693
5,18062,0.7864609162548207,0.21795894185238457,12.03078285904108,0.3832057343322702,0.08122861704102986,0.03141399849663647,0.17609314210766056,-1.1812343066939655,-0.6421866062665993,MANHATTAN,3.2,0.4008037546284499,5644.375,35.16775550880301,52.80146163215591,41.252353006311594,17.53958587088916,2.4083711659838336,3.5322777101096223,11.864688295869783,23.286457756616098
6,22834,1.9364264930012,0.029831461887644253,8.614347026364195,2.039900387067721,-1.1243852483418695,0.9826983765350059,-0.4222289225907633,-2.3301487670750296,1.0442681246747176,MANHATTAN,3.1,0.9523663401467463,7365.806451612903,39.24410966103179,52.141543312604014,57.5063501795568,12.275553998423403,4.199877375843041,1.8875361303319613,8.461066830165542,29.12761671192082
7,19751,-0.5818406445464948,1.0265019614266648,14.044858488177814,0.5644677320430951,-0.18227847350566742,-0.20161436134360727,-0.3076808090676196,-0.4863211881667557,0.5808854665703019,MANHATTAN,2.8,0.8524377779032365,7053.928571428572,30.31745228089717,55.63768923092501,43.030732621133104,16.389043592729482,1.9695205306060453,2.2024201306262974,13.923345653384638,27.522657080654145
9,22202,0.43837669617068353,0.5595318434156186,12.066480497252499,1.3629566075913129,-0.48937141531670536,-0.03963409098369854,-0.38957497193991386,-1.1526481225554337,0.2875363511375374,MANHATTAN,3.5,0.6247869953852507,6343.428571428572,33.933879830645886,53.99963967210161,50.86478695613008,15.048193856409334,2.2745698585713,1.9772993424015852,11.949373930276552,26.50662102513287
10,16951,1.0822203954148057,-0.9447764157275504,15.061058344640434,0.5836252718372666,-0.47021162173152037,0.24366557050981907,-0.16460773436211668,-0.19985584453117622,1.0367357934705173,MANHATTAN,3.0,0.40271285983018995,5650.333333333333,36.21615243938411,48.72278921597546,43.21868916288125,15.131850628281518,2.808093917762964,2.5957170668397147,14.77198985310601,29.10152793345525
13,29165,0.021658150882961268,1.1851127718328847,11.349219955426024,1.7457349910085955,-0.891285192728696,-0.2933952954293664,-0.11850815543189254,-1.4455113863849498,-1.155471631440384,MANHATTAN,2.9,1.814616540170289,10056.896551724138,32.45671181210355,56.19406823247043,54.620264015086576,13.293331047488428,1.7966740956626093,2.7224412823589916,11.081776101491513,21.50865763757929
14,47630,1.3660720203370902,0.7450572579800548,8.127230736930507,1.6852534765645903,-0.760308325840663,1.3044386253291989,0.0573866439475039,-2.528590678296833,-1.2679609669194027,MANHATTAN,3.4,3.0808505569535782,14008.823529411766,37.222338862061726,54.65043040100777,54.026873819021624,13.865211001469662,4.805794667226538,3.2059626285954232,7.873189166491707,21.119042620197355
17,15305,0.8317583362905328,-0.26309313361353703,13.55766089513231,1.7526400717748267,-1.159960684658525,-0.7478252139337705,0.09619467146830445,-0.6737208360597876,-0.553509649470825,MANHATTAN,2.6,0.4783951712596882,5886.538461538461,35.32832407709899,51.1140150277687,54.68801045409997,12.120222149624306,0.9408689970597843,3.3126429271479907,13.368180333224435,23.59359686377001
18,34032,0.8840355146223415,-0.03702324686683254,12.579337094499296,1.8732111106495692,-0.9969339378035343,-0.5671385410978651,0.0530540489138055,-1.0074477926466843,-1.013645593478364,MANHATTAN,3.8,1.4618116310191533,8955.789473684212,35.51363422661025,51.907028678890455,55.87094499294781,12.832040432534086,1.2811471556182417,3.19405265632346,12.379525152797367,21.999882463563704
19,31972,1.0416071527843074,0.25925700992158524,10.981483798323532,2.5965399461594343,-1.8276461300469313,-1.1328273105399298,0.1802576996012827,-1.52054142661199,-2.1070457699120166,MANHATTAN,4.2,1.0313710946137808,7612.380952380952,36.07218816464407,52.94632803703241,62.96759664706618,9.204929313149005,0.21581383710746904,3.5437257600400347,10.859502064306268,18.21281120980858
20,16258,0.006367341512769728,0.6029098648026654,13.445688276540778,1.7475138742087055,-1.486085859637209,-1.0253313319734334,0.45740141901654485,-0.6973874909458992,-1.425184800332704,MANHATTAN,3.9,-0.0720104360155223,4168.717948717949,32.40250953376799,54.15180218969123,54.63771681633657,10.696272604256366,0.4182556279985238,4.305572641161275,13.298068643129538,20.574486406692092
22,1113,-0.6942078011724847,0.6615758160994076,15.723270440251572,0.0705733484369452,1.1056718963256096,0.18383488738985598,-0.9127673373632862,0.030269503660913313,-3.007408386599209,MANHATTAN,33.5,-1.397061049254395,33.223880597014926,29.919137466307276,54.357592093441156,38.18508535489668,22.0125786163522,2.6954177897574128,0.5390835579514826,15.45372866127583,15.09433962264151
23,24169,-1.2091361114490737,0.24203842633428088,19.020232529273034,-1.1194991746834622,0.9178359143822882,0.24435055861968402,-0.2103022517315629,1.2020430105338102,-0.4535664163454811,MANHATTAN,3.1,1.0903490395912585,7796.451612903225,28.09383921552402,52.88592825520294,26.509164632380323,21.192436592329017,2.809383921552402,2.4701063345608008,18.92506930365344,23.939757540651247
24,19245,-0.8187157489169794,1.1635621251594672,14.403741231488699,1.4212528077395348,-1.0594436697102654,-0.681799591818027,-0.050334038698919524,-0.3609944606092823,-0.23484244121530662,MANHATTAN,3.0,0.6477191441821766,6415.0,29.477786438035853,56.11847233047544,51.436736814757076,12.55910626136659,1.0652117433099506,2.9098467134320605,14.294621979734995,24.697323980254613
25,29384,-0.45365252974558684,1.3674430457764442,12.394500408385516,-0.8241198920740048,0.029917049858495623,5.487621544778419,0.255419690024458,-1.03455853894746,-1.09367169207846,MANHATTAN,2.8,1.9547600801027727,10494.285714285716,30.771848625102095,56.83365096651238,29.407160359379255,17.31554587530629,12.683773482167165,3.750340321263273,12.299210454669208,21.722706234685543
26,12592,0.14499198565470356,0.10983245327296241,14.683926302414232,0.1084020133556287,-0.46366857558900726,-0.32813107537588687,0.2951636376686621,-0.28051597808984247,-0.4501139600443065,MANHATTAN,2.7,0.08658758574065352,4663.7037037037035,32.89390088945362,52.42217280813215,38.55622617534943,15.160419313850063,1.7312579415501905,3.8595933926302415,14.533036848792886,23.951715374841168
28,20848,-0.5569187900971839,1.0164577438251237,13.991749808135074,-0.008054385402594146,-0.1721582921222437,2.1018711970030686,0.05498025855140511,-0.5053283342530103,-1.6223482798145565,MANHATTAN,3.2,0.6797600706449473,6515.0,30.405794320798158,55.602455871066766,37.413660782808904,16.433231005372217,6.3075594781273985,3.199347659247889,13.86703760552571,19.8915963161934
30,16528,-1.1960783566692619,0.7388080285878241,17.231364956437563,-0.21694333285940387,0.08269364525225663,0.10191507112736582,-0.012784060063430126,0.5588405569818954,0.32943570632408753,MANHATTAN,3.0,0.3575351535176833,5509.333333333333,28.140125847047436,54.628509196515004,35.36423039690222,17.5459825750242,2.541142303969022,3.0130687318489837,17.019603097773476,26.651742497579868
32,24434,-0.2733019746573405,-0.5806731031456511,18.58885160022919,-1.1942722350536759,1.1070277907223622,0.32813814470285446,-0.10243081766555254,1.026382907427077,0.54438964052751,MANHATTAN,3.1,1.1177388638255628,7881.935483870968,31.41114839977081,50.0,25.775558647785875,22.01849881312925,2.9671768846689037,2.7666366538430056,18.404682000491118,27.396251125480887
33,17697,-0.3479547718098038,0.6041269895447338,14.697406340057636,-0.21545039335695512,0.09419550090060591,1.3720052456646996,-0.2948586004018235,-0.30132887277909354,0.5716112395370833,MANHATTAN,3.4,0.2600239339826512,5205.0,31.146522009380124,54.15607165056224,35.37887777589422,17.596202746228172,4.933039498220038,2.2376674012544497,14.471379329829915,27.490535118946713
34,24080,0.3747876380646945,-0.037274827100197264,14.385382059800664,0.03291490739417389,0.07786901309996477,0.01611966094175988,-0.025696016730919365,-0.3934393749757501,1.6678319261131247,MANHATTAN,3.3,0.9303104062121587,7296.969696969697,33.708471760797345,51.90614617940199,37.8156146179402,17.524916943521596,2.379568106312292,2.977574750830565,14.198504983388705,31.28737541528239
40,50378,-0.21803668378742183,0.22343642672897482,15.572273611497081,-0.9517318062213665,0.854041002898769,2.68409137317806,-0.05677701811500025,-0.004760188569475289,0.11187627370896429,BRONX,4.0,2.627688194949091,12594.5,31.607050696732703,52.82067569177021,28.15514708801461,20.913890984159753,7.40402556671563,2.8921354559529955,15.34995434515066,25.898209535908535
41,25323,0.135274814277169,-0.2525132433910756,15.989416735773803,-0.8727320572591163,1.1678556690741668,0.12184928504577508,-0.3388811264348872,0.133780278743048,-0.11296464374179616,BRONX,4.5,0.39534344674375266,5627.333333333333,32.85945583066777,51.15112743355843,28.930221537732496,22.284089562848003,2.5786834103384275,2.1166528452395057,15.76037594281878,25.11945662046361
42,35949,-0.7771005210402697,-0.27021213627914037,19.285654677459735,-1.0312595724095808,1.5463479999666998,0.09524567164329012,-0.23557877535768265,1.2890184150143325,0.09569522387678531,BRONX,5.1,0.8508020751447379,7048.823529411765,29.62530251189185,51.08904281064842,27.374892208406354,23.93668808589947,2.528582158057248,2.400623104954241,19.182731091268185,25.842165289715986
43,45375,0.07373795416201186,-0.5313540111805704,17.185674931129476,-0.504135785998929,0.9541432679862928,-0.06313964288475582,-0.11474628762621092,0.5658000559868531,0.15876326813253686,BRONX,4.8,1.6211625412792285,9453.125,32.64132231404959,50.17300275482094,32.5465564738292,21.350964187327822,2.2303030303030305,2.732782369146005,17.04022038567493,26.060606060606062
44,49865,-0.2337958490828435,0.32746824358318466,15.263210668805776,-0.6928689838974793,1.2647851941171042,0.20612251147073604,0.04961479692060398,-0.08007304484548493,-0.2605041456111512,BRONX,4.2,2.3963908498479616,11872.619047619048,31.55118820816204,53.185601123032185,30.69487616564725,22.70730973628798,2.737390955580066,3.1845984157224505,15.12684247468164,24.60844279554798
45,25208,-0.7859932930805493,0.30595139254863296,17.296096477308794,0.11315156478689019,-0.1753281248812796,-0.5270137550823447,-0.5186431507963005,0.6053047223533895,-0.2917678487072269,BRONX,11.2,-0.6865565792317743,2250.714285714286,29.593779752459536,53.110123770231674,38.602824500158675,16.41939066962869,1.3567121548714693,1.6225007933989208,17.157251666137736,24.500158679784196
46,39350,-0.811911474115838,0.14813853200936244,17.941550190597205,-1.3508985861177059,1.764558559443483,1.54992493449928,0.06520183739369474,0.8425991767404541,0.5653558506291555,BRONX,4.9,1.1653762754934502,8030.612244897959,29.501905972045744,52.55654383735705,24.238881829733163,24.889453621346888,5.268106734434562,3.227445997458704,17.86022871664549,27.46886912325286
47,41872,0.02012582782072095,-0.7706245261108826,18.21503630110814,-0.9432420473199191,1.314010190103777,-0.298852594692361,-0.2565937987512709,0.8954552641801395,1.0240541472431892,BRONX,8.6,0.15231426142001156,4868.837209302325,32.451280091708064,49.3336836071838,28.238440962934657,22.92223920519679,1.7863966373710356,2.342854413450516,18.016813144822315,29.057604126862817
48,32513,-0.4101397405460642,0.15014721568910322,16.51031894934334,-0.8865516640063922,1.5163851462368334,0.14568178220533415,-0.3569926831610737,0.3516289150834734,0.6160138748363919,BRONX,5.2,0.5956526386801742,6252.5,30.92609110202073,52.56358994863592,28.794635991757144,23.805862270476425,2.623565958232092,2.0668655614677207,16.40574539415003,27.644326884630765
49,27684,-0.3934064216555653,0.18958240135177018,16.312671579251553,-0.20119782323480898,0.10881152965811762,-0.4169018786209265,-0.4978460007146631,0.2568066203886746,-0.4801423464532315,BRONX,7.8,-0.2704998676413018,3549.2307692307695,30.98540673313105,52.70192168761739,35.51871116890622,17.66002022829071,1.5640803352116748,1.6796705678370178,16.124837451235372,23.84770986851611
50,19729,-0.010349855252937678,-0.179695636225868,16.250190075523342,0.562125737831942,-0.8409512349764214,-0.7225902600842585,-0.23856388978067608,0.2597679931978621,-0.7039215740474067,BRONX,14.2,-0.9625404868665328,1389.3661971830986,32.34325105175123,51.40655887272543,43.00775508135232,13.513102539408992,0.9883927213746263,2.392417253788839,16.133610421207358,23.07263419331948
52,39975,-0.506613365751878,1.2781211031908466,12.895559724828018,-0.015986817517826688,0.5868679391788101,1.5566652857812855,-0.5100841732021311,-0.8906774704771118,-0.04615858484679949,BRONX,4.6,1.3767198753981722,8690.217391304348,30.58411507191995,56.52032520325203,37.3358348968105,19.747342088805503,5.280800500312695,1.6460287679799877,12.725453408380238,25.350844277673545
60,24858,-0.022703326366418277,0.06957475227470261,15.419583232762088,-0.7700089620842087,0.28577677678062297,1.0766759162012585,0.004793713937143882,-0.07631223601532186,0.27474172301248395,BROOKLYN,7.2,-0.30149330227740506,3452.5,32.29946093812857,52.280955829109345,29.93804811328345,18.432697723067022,4.376860568026389,3.0613886877464,15.137983747686862,26.46230589749779
61,22646,0.8174919812996992,-0.08469012482201184,12.982425152344785,0.4853706082579384,-0.5154781888758592,-0.3751687726024334,-0.06312699505617779,-0.8859168284139929,-0.16594045563068877,BROOKLYN,9.1,-0.6103449470024698,2488.5714285714284,35.277753245606284,51.73982160204893,42.25470281727458,14.934204716064647,1.642674202949748,2.87467985516206,12.739556654596838,24.935971032411906
62,24090,-0.8693037293154893,0.4488699343419336,17.090078870900786,0.4273387676783141,-0.4647571628055716,-0.5134180241328709,-0.33118223041402817,0.4817415005760474,-0.8108250733185542,BROOKLYN,8.8,-0.5305859264862155,2737.5,29.298464092984638,53.61145703611457,41.685346616853465,15.155666251556662,1.3823163138231631,2.1378165213781655,16.791199667911997,22.702366127023662
63,18899,-0.14253043634004905,0.032500962851600035,15.97439017937457,0.3285826060116473,-1.1013078204388953,-0.7023504513669725,0.146132422846686,0.13993618887761997,-0.8528675235823867,BROOKLYN,9.3,-0.7565864290283231,2032.1505376344085,31.87470236520451,52.15090745542093,40.71644002328165,12.376316207206731,1.0265093391184719,3.4499179850785757,15.778612625006613,22.55674903434044
